CNTR_NAME;LowerEducation_2023
Austria;18,5
Belgium;22,5
Bosnia and Herzegovina;22,9
Bulgaria;18,7
Croatia;15,2
Cyprus;17,7
Czechia;13,4
Denmark;25,6
Estonia;17,5
Finland;18,5
France;21,1
Germany;23,1
Greece;22,4
Hungary;18,1
Iceland;23,8
Ireland;17,4
Italy;36,7
Latvia;16,0
Lithuania;11,6
Luxembourg;23,7
Malta;29,6
Montenegro;
Netherlands;23,6
North Macedonia;
Norway;24,1
Poland;12,0
Portugal;41,1
Romania;22,3
Serbia;19,8
Slovakia;12,8
Slovenia;16,4
Spain;37,7
Sweden;19,2
Switzerland;18,5
Türkiye;53,1
United Kingdom;
